"ランキングから来ました。
まだ、読んでる途中ですが楽しく読んでいます。",4話と5話でVITが下がっているんですけど、何か読み落としたでしょうか？,,"ありがとうございます！
確認いたしました、完全にこちらのミスですね……初期のVITは鳥面と素の数値込みで「2」です、ご指摘感謝です",2017年 06月04日 13:07,2017年 06月04日 20:20
"
半裸、鳥面、血塗れ包丁二刀流、呪いの痣。
静かな丘あたりのホラーゲーに出てきそう(笑)",,"
　とてもとても楽しく読んでおります♪
　この調子でガンガンいってくださいませ～♪","主人公は不審者じゃないよ、草むらからいきなり飛び出したら確実に攻撃される程度にちょっと奇抜なだけだよ（すっとぼけ）
実際先のエリアに行くほど余裕のあるプレイヤーが増えて珍妙な格好のプレイヤーも増えると思います
これからもガンガンいきたいと思います！",2017年 06月06日 6:24,2017年 06月06日 8:01
,半刻って一時間でしたよね,,"そうですね、もしやどこかガバっていたでしょうか……記憶に書いてるどこかで半刻って使ったのは覚えてるんですが……
ご報告感謝です",2017年 06月06日 7:25,2017年 06月06日 8:41
"本編も面白いですが、クソゲー紹介のほうも
ちょくちょく挟んでいただけるとすごくうれしいです",,"ダブル包丁で一撃必殺のネイキッド鳥頭戦士とか
東南アジアあたりの土着の精霊とかにいそうだなｗ
NPCにそういう精霊としてあがめられそう","クソゲー紹介や、場合によってはプレイ描写も書いていくつもりです
頭が動物だしむしろエジプトの壁画とかにしれっと混じってそうですねぇ……
これからもどうか拙作を宜しくお願いします！",2017年 06月06日 8:21,2017年 06月06日 8:42
"MMOで(半)強制ソロとか普通はぶん投げるよな。
特に低レベルでこれとか人によっては運営に修正要求するレベル。まぁここの主人公は普通じゃないみたいですが。",,"＞記憶に書いてるどこかで半刻って使ったのは覚えてるんですが……
第二話の岩巻さんの台詞ですね。","ありがとうございます！おかげさまで見つけることができました！
そもそもこの「呪い」は低レベルプレイヤーが受けるようなものではないので、主人公がおかしいだけです
表現はアレですが言うなれば主人公は丸めた新聞紙から逃げ切ったGのような感じですかね……
ともかく、未だ誤字の多い未熟者ですが、これからも宜しくお願いします！",2017年 06月06日 9:19,2017年 06月06日 11:17
,,本来なら真っ向から戦う雑魚戦も逃げる相手に追いついて背後から首を刈るワンサイドゲームになって効率プレイが捗りますね。,"半裸のレスラーもどきが包丁両手に追いかけてくるとかますますホラーゲーじみたことに……
これからも拙作を宜しくお願いします！",2017年 06月06日 9:54,2017年 06月06日 11:48
,,"おもしろい！！
特にバグリズム格ゲーのテクスチャ崩壊バトルとか、光景が容易に想像できて笑いが止まらなかった笑

クリティカルのダメージ計算が気になる。ステ+武器を元にした数値への高倍率の単純な乗算なら良いけど低倍率(1.2倍とか)だと、一定の火力が出せる最低限のSTRとかいりそうだし、ステ振らずにSTRの部分を武器で補うにも常に入手可能な強武器こしらえてかなきゃ火力でなさそうで心配","ありがとうございます！！
さすがにオンラインでテクスチャ崩壊するようなゲームが野放しにされるとは考えづらいですが、そこはまぁ創作ということでなんとか
これからも拙作を宜しくお願いします！",2017年 06月06日 11:08,2017年 06月06日 11:51
,,設定をあとがきで出すのはどうかと思うんですけど,"それに関してなのですが、基本的にこの作品は主人公の一人称視点で進行します。
そして主人公はチュートリアルをガン無視したり、調べずに経験則頼りに強行突破をするため、設定を作中で説明するのが難しいんです。まぁ自分の力不足といえばそこまでなのですが、ネタバレにならない範囲でその話の中での専門用語的なものをあとがきで解決できたらな、と考えこのような形にしております。
流石に少し語りすぎかな、とは思いましたので自重するよう努力します。
未だ未熟者ですが、拙作をどうか宜しくお願いします。",2017年 06月06日 11:39,2017年 06月06日 11:55
"折れない主人公ｗ良いですね。
",,登場キャラの少ない一人称だと、システム説明はしにくいですよね。,"ありがとうございます。
自身の甘えであることは理解しているのですが、長々と本文に設定を入れるよりも補足的な感じで書いた方が本文をスッと読めるのでは？ という考えもあります。いっそ設定のページを1話分作ろうかとも思いましたが、一々これどこで出た単語だっけと調べるのも手間ですしあとがきに書いてしまおう、という感じです
これからも試行錯誤を続けていきます、拙作を宜しくお願いします。",2017年 06月06日 12:05,2017年 06月06日 12:14
私もクソゲーが好きで当時、クリアするだけでやりこみになるようなクソゲー　星をみるひと　をクリアした時は感無量でした、そんなクソゲーマの気持ちをちゃんと表現してくれてるこの作品は大好物です(*´д｀*)ハァハァハァアハァｗ,"レベルカウンターではなくて、レペルカウンターと表記されてますが
エクスカリバーじゃなくてエクスカリパー的なそんなパチ物的な技なんでしょうか？",,"Repel、撃退やはねつけるという意味の単語ですね。相手の攻撃を弾いてカウンターを入れる、的な意味合いで使用しています
知らずにクソゲーを踏んでしまう場合と知ってて踏みに行く場合はモチベーションも変わってきますからね……これからも拙作をお願いします！",2017年 06月06日 14:14,2017年 06月06日 20:26
主人公がシコシコ変態プレイをしてるだけなのに面白い,,毎秒投下して、役目でしょ,"なろうの予約投稿システムが時間単位だから畜生！ 毎日投稿を切らさないように頑張ります！
これからも拙作を宜しくお願いします。",2017年 06月06日 16:30,2017年 06月06日 20:28
,,"逃げるなら追い込み漁できるな
罠作っておいてそっちに逃げるように誘導
海に逃げて溺れるネズミの集団のごとくゴブリンを崖から落としたりｗ","第三者が見たら凄まじく原始的な猟師か何かと勘違いしそうな絵面ですね……（笑）
これからも拙作を宜しくお願いします。",2017年 06月06日 16:46,2017年 06月06日 21:42
,,"安心したまえ、どんな神ゲーにもへんた・・・同士は居るものだ。
昔某R〇に転生オーラノビとか居たな…今どうしてるんだろ。","縛りプレイヤーとクソゲープレイヤーは似てるようで違うけど根っこは一緒な気もします。
これからも拙作を宜しくお願いします。",2017年 06月06日 20:57,2017年 06月06日 21:43
折れない主人公は次は何しでかしてくれるかワクワクしますねぇ,"装備欄潰すメリットってなんだろう？
防具破壊的なの不発にできるとかですかね
今後どうなるか期待してますー",,"某狩りゲーよろしく一式装備で発動するスキルなどが封じられるため、人によっては最悪のデメリットになりうる装備欄潰しですが、ハイレベルプレイヤーは解除する手段がないわけではないので余程の胆力のあるプレイヤーでもない限り基本的にすぐ解除してしまいます。
今後とも拙作を宜しくお願いします。",2017年 06月06日 21:20,2017年 06月06日 21:45
ゲームとして実際にありそうなシステムかつ主人公がやらかしてくのがとても楽しいです。無双とかリアルラックがあまり絡んでこないのもいい感じ。,,頑張ってください！,"そもそも幸運がパラメータ化されているのがゲームの世界ですからね……LUCKは現実よりもより単純な確率です
無双させたい欲求がないわけでもないのですが個人的にズタボロになりながら戦う姿が好きなんです
これからも宜しくお願いします！",2017年 06月06日 21:31,2017年 06月06日 21:47
,,"足装備不可能はやりすぎな感じが……。
神ゲームなんですよね？
運営がそんな変態な格好をプレイヤーに強要するのは当事者だけではなく、他のプレイヤーへの迷惑を考えると違和感というか、年齢制限に引っかかりそうだし、微妙……。
主人公が運営に訴えなくても周囲の特に女性プレイヤーから苦情が出るんじゃないでしょうか。","そこらへんを突き詰めるとそもそもVRとはいえ何かを害する体験をフルダイブでやらせるのはどうなんだ？という話になってしまいますから許してください！としか言いようがありませんね……あと別にパンツ一丁というわけではなくハーフタイツ的なものはちゃんと穿いています。
そこらへんの設定の甘さは後々保管していきたいです、ご指摘感謝します。",2017年 06月06日 22:14,2017年 06月06日 22:27
,,"　主人公がゲームを楽しんでいる感じが全面に出ていてすごく良い。

　遭遇して早々にマーキングするリュカオーンさん。ヒロインの可能性がありますね。","リュカオーンがオスかメスかは明言していない、つまり今リュカオーンはオスでありメスである状況であるからしてシュレディンガーの猫が適用された狼で何言ってるんでしょうね
主人公にはこれからも楽しさ第一でプレイしてもらうつもりです、これからも宜しくお願いします！",2017年 06月06日 22:16,2017年 06月07日 3:13
,,"モンスターが呪いとはいえど永続デバフを与えられるということは何か加護的なものが与えられる可能性も微レ存......？

日刊1位おめです(*^▽^)/","まさか自分の作品が日刊一位の位置にくる日が来ようとは、感無量を通り越して真顔になっています……当然頬はつねりましたよ？
皆様のおかげです、これからも拙作を宜しくお願いします！",2017年 06月06日 22:44,2017年 06月07日 3:15
,"『書籍化までされているなろう小説のタイトルと同じクソゲー』が何だったのか気になります！　ホントに！
教えてください(*・∀・*)ノ","掲示板回もいつか見たいですねー。

まだ見ぬヒロイン()が、既に最前線にいるのも気になります。前に勧めた、と言われている以上、最初期やそれに準ずる期間には始めてなさそうですし。","こればっかりは自分の無知が招いた不手際でした……「フェアリーテイル・クロニクル」というタイトルが書籍化までしていたとは。これからはちゃんと事前に調べてから名前を決めようと思います。
掲示板回は入れようかどうか少し迷っています、わかりやすくキャラを登場させる切っ掛けとして優秀ですが便利すぎて頼りすぎになりそうなので……もし掲示板を使うようならタグに入れると思います。
これからも拙作を宜しくお願いします。",2017年 06月07日 3:08,2017年 06月07日 3:30
,,"久しぶりにワクワクした。
パワーワードがいくつもあって
夜中なのに声だして笑ったわw

更新頑張って下さい。応援しています。","ありがとうございます！
ギャグ……とは違いますが、主人公には楽しむことを貫き通すよう書いていきたいと思っています
これからも拙作を宜しくお願いします！",2017年 06月07日 5:06,2017年 06月07日 10:02
,,足装備不可だけど能力値上がるとかelonaのエーテル病のような感じですね、,"実は初期構想では「マーキングされた部位が狼っぽいパーツになる」にしようと思っていたのですが、あまりに人外じみた見た目になってしまうのでタトゥーじみた痣に変更したという経緯があります。
デメリットとメリットが同居するエーテル病とは確かに共通点がありますね。
これからも拙作を宜しくお願いします！",2017年 06月07日 7:08,2017年 06月07日 10:12
最近の投稿作品の主流がファンタジー系統ばかりだった中、SF（VR）で日刊1位をとり、それに見合う、てかそれ以上の面白さであること。,,"久々に毎日１話投稿するんだったら、ストックのある分全部出してほしいと思った。

‥‥面白いから頑張れっ！","それも皆様の応援あってのことで、本当にありがたいです。
ランキングを見たり、感想や評価を頂くたびにモチベーションがモリモリ上がるのを実感できます。
未熟者ですが、これからも拙作を宜しくお願いします。",2017年 06月07日 8:39,2017年 06月07日 10:13
"ランキングから来ました。
前に方も書いてありますが、ファンタジーが多い中、ＳＦで一位になるとは……。",,"自分も結構ミスが多いから言えた口ではないのですが。
地の文の最初。
　このように、全角スペースをひとつ分、字下げをしたほうが見やすくなると思います。","これを機にサイエンス・ファンタジーというカテゴリがもっと注目されるのなら、それはとても喜ばしいことだと思います。
ファンタジックもいいけどもっとサイバネティックなカテゴリも流行ってくれると作者がホクホクします。
これからも拙作を宜しくお願いします！",2017年 06月07日 11:13,2017年 06月08日 6:08
,,あ、確定リポップするのか、だから店売りで蛇革防具が売ってたのか、レアじゃないからｗ,"経験値と値段の代わりに時間を消費するのか、時間効率を考えて高い値段で入手するのかはプレイヤー次第ですね。基本的にエリアボスは道を塞ぐカ○ゴン的なポジションです
これからも拙作を宜しくお願いします！",2017年 06月07日 12:33,2017年 06月08日 6:10
,どこが主人公最強なんですか？,,"レベル以外の要因で高いレベルの敵と渡り合うのは結果として負けるとしても十分主人公最強に属するのではないだろうか？と判断し主人公最強のタグをつけさせていただきました。確かに序盤や現時点では最強とは少々言いがたいのでタグを外すべきでしょうか？
ご指摘ありがとうございます。",2017年 06月07日 19:53,2017年 06月08日 6:13
,,韓国中国あたりならラグも少ないし日本語版ってだけでガチ勢以外やらないっていうのはないと思いますけどね。殆ど日本ユーザーだけで同時接続数世界一位ってことはないと思うし主人公が知らないだけかもしれませんけど。,"確かにそうですね、韓国とかオンゲ大国ですし。とはいえほぼ生身で顔をあわせるのに等しいフルダイブタイプのMMOで言語違いでプレイするのって大変な気もします。やっぱり外国の方にとっては敷居の高いものではないでしょうか？
そういうところの詰めが甘いのは改善点ですね、ご指摘感謝です",2017年 06月08日 7:57,2017年 06月08日 8:06
,"『常駐戦陣』は何らかの当て字なのでしょうか？
心は常に戦場に在れと言う意味で有名なのは『常在戦場』ですかね
『常住戦陣』を頭に付けた、蟲をはっ倒す漫画も昔ありましたが…",ユニーククエストも対象NPCがmobだった場合、フラグ立ってても自分のレベル以下は逃げ出すのだろうか,"（その蟲をはっ倒す漫画のやつが正しい言葉だと勘違いしてた挙句さらに住と駐を勘違いしてたとか言えないのでこっそり修正しよう……）
はいすいません、四字熟語検索をしなかった自分の落ち度です、ご指摘感謝です……二重ガバを晒してしまい恥ずかしい……

自身のレベル以下のモンスター逃走効果はNPCには適用されないものとして書いています。シナリオフラグとしての友好なMobは逃走しない……という感じです。
そもそも物語的な「呪い」の効果は「あれはリュカオーンのお気に入りだから下手に危害を加える、つまり横取りするような真似はヤバい」とモンスターに思わせるものです。つまり生物的な思考能力がないモンスターであれば……？
設定を書き過ぎるのもアレなのでここで切ります、これからも拙作を宜しくお願いします！",2017年 06月08日 8:10,2017年 06月08日 8:25
,,神ゲーを自分からクソゲー展開に持ち込んでいく主人公とか草,"クソゲーハンターは定期的にクソゲニウムを摂取しないと周囲をクソゲー化させます（新説）……は冗談として、誰しも「この武器だけを使ってクリアしよう」だとか「こういうロールプレイのためにわざときつめの選択肢を選ぼう」みたいな縛りとも言えない軽い縛りでゲームをプレイしたりすると思います。
主人公は無意識のうちにそのハードルを勝手に高くするタイプです、テンションの生き物なので深く考えずに突貫するのも原因の一つですが。
これからも拙作をよろしくお願いします！",2017年 06月08日 9:55,2017年 06月08日 10:25
,">ユニークシナリオは基本的に「特殊な条件の達成」でフラグが立ちますので

ほほぅ、これは……リュカオーンの呪いじゃな？（フラグ名推理）
",,"簡単なものは偶然でも結構な人数が見つけることができたりもしますが、難しいものだと全く意味不明の5W1Hが条件のものもあったりします。
これは没案ですが「素肌を晒した状態で女神像の前で戦闘を行う、ただし一切のダメージを受けてはならない」なんてものも考えていました。
これからも拙作を宜しくお願いします。",2017年 06月08日 10:13,2017年 06月08日 10:35
,,"フェアクソなら事前に知らされたクエスト内容が実際やってみると(フェアクソヒロインのせいで)まったく役に立たないどころか敵の属性まで変わっててむしろ邪魔なんてこともありそうですよね。
そう考えるとクエスト内容を無意識でスルーするのも納得できる…クソゲー補正半端ないな？","例えば「モンスターに襲われてピンチの村からの救援依頼」があったとしましょう。
神ゲーであるシャンフロであれば依頼内容にどんなモンスターが出るのか、どういう数なのかがわかります。
場合によってはNPCを雇って戦力補充もできるでしょう、村のNPC達がある程度自衛しているかもしれません。
クソゲーであるフェアクソの場合、まずヒロインが「モンスターも生きている」とゴネます、そして選択肢次第では主人公を冷血漢と罵り逃げ出します、ヒロイン以外のNPCにまるで不倶戴天の悪魔のごとく罵られ、必死になっておべっかを使いヒロインの好感度を戻してようやくストーリーが進みますが当然のように村はモンスターに荒らされ滅びています。そしてヒロインは冷たくなった村人の骸を抱き上げ叫ぶのです

「邪神……絶対に許さない！」

そしてヒロインは魔物の殲滅を決意し、プレイヤーは高度な思考ルーチンで的確にプレイヤーを狩りに来るモンスターの大群を、木に向かって攻撃し続ける味方を守りながら戦うことになります。ヒロインが死んだら強制ゲームオーバーです。

あくまで一例ですがこれに突発的バグも絡んだのが主人公が一話でクリアしたフェアクソです。
主人公をして二度とやりたくないと言わしめたクソゲークリア直後だからこそ、主人公はシャンフロを過剰に神ゲー扱いしているとも言えます。",2017年 06月08日 12:25,2017年 06月08日 12:53
フェアクソのインパクト,,"掴みはバッチリなので今後の展開と更新速度が焦点ですね(プレッシャー)
どっちかというとバグゲーやりこんでる頃の話の方が気になる…気にならない？","クソゲーバグゲーのプレイ描写は入れていくつもりではありますが、もう少し先になりますね……主人公がシャングリラ・フロンティアをプレイしている時とはまた別の顔を見せられるよう頑張ります。
これからも拙作を宜しくお願いします！",2017年 06月08日 12:24,2017年 06月08日 12:55
,,ヴォーバルバニー絡み…包丁取得とキル数かな？ｗ,"さぁどうでしょう（意味深な笑み）
ただ、このゲームにおけるヴォーパルバニーというモンスターの特徴に主人公が合致したことは事実です。
これからも拙作を宜しくお願いします。",2017年 06月08日 12:14,2017年 06月08日 12:57
"タイトルのユニークの連鎖から、呪いによるNPCの会話変化が条件の一つかな
「兎の国からの招待」、兎関連から致命の包丁の愛用（クリティカル回数が異常ｗ）がもう一つの条件かな
推薦レベル８０から見ると、レベル８０で致命の包丁を使うプレイヤーはかなり少ないから、このユニークシナリオはまさに主人公（もしくは縛りプレイ）専用ｗ
これからもユニークシナリオ沢山発見して欲しいですよね。ラスボスとか攻略最前線とかは置いといて、真の（ユニークな、クソゲー的なとは言ってないｗ）遊び方を発見してもらいたいです。
楽しみが一つ増えました。がんばってください。",,,"この作品が皆様の楽しみの一つになったのなら、それはとても喜ばしいことです。
何気にトラップなのが、ユニーククエストは推奨レベルと発生条件に関係がないという点ですね。
つまり場合によっては推奨レベル以下のレベルでもユニーククエストを発生させること自体はできるのです。

これからも皆様のひと時の楽しみになれるよう努力していきます。",2017年 06月08日 11:24,2017年 06月08日 13:04
,,"なんだ、これが噂に聞く神小説(以下神ショー)ってやつか！？

ストーリーが破綻してないし、ぽっと出の主人公がいきなり国王を殴っても怒られない異世界転生みたいなオナニー全開のクソガキ作品とは大違いだ！

くっ、クソ小説(以下クソショー)ハンターの俺には眩しすぎる・・・

ええい、誇り高きクソショーハンターが神ショーの魔力ごときに負けるわけには・・・！

で、でもなんだこれは。

神ショー！読まずにはいられないッ！(DIO様並感)","ほうら君もこれを気にサイエンスなファンタジーの世界へいらっしゃい……（笑顔）
強さと行動に理由があればだいたいの小説は面白くなるとは思いますけどね、アメコミとか平行世界レベルで世界観弾けてるけど面白いですし
これからも拙作を宜しくお願いします。",2017年 06月08日 13:43,2017年 06月08日 22:27
,,"微妙に誤解が生まれたようなので追記
主人公がフェアクソを引きずってるとかフェアクソのサブクエ予想とかは建前で、言いたかったのはそういうクソみたいなバックボーンが予想できるからこそ、他の小説ではツッコミが入ってもおかしくないような多少阿呆なプレイをしても笑って許せるという点でした。","クソゲーをネタにした自分がクソゲーに救われていた……？感動しましたクソゲー買います！
それはともかく、ゲームはプレイヤー次第で様々な楽しみ方ができるものですし、クソゲー的思考であってもちゃんと楽しめるのが神ゲーたる所以なのです。
これからも拙作を宜しくお願いします。",2017年 06月08日 13:48,2017年 06月08日 22:30
,,"討伐系なら積んだなw
他のなら何とか抜け道あるかもしれないが……","強敵を回避するのか、真正面から飛び越えるのか、それはこれからの更新で明らかになります。
これからも拙作を宜しくお願いします！",2017年 06月08日 14:24,2017年 06月08日 22:31
,"兎の国からの招待はユニーククエストの中じゃどれくらいの知名度なんだろう？
",MMORPG物を読んでるときに毎回思うんだけど、ある程度クエストが自動生成されるならともかく、主人公オンリー並のニッチなコンテンツの実装に工数をかけさせられる開発現場は、中々不憫だと思うんだ。,"ストーリーに関わることなので多くを語ることができませんが、一つだけ言えるのは「兎の国」は有名ですが「兎の国からの招待」は誰にも知られていない主人公が第一発見者のユニークです。
これからも拙作を宜しくお願いします。",2017年 06月08日 17:15,2017年 06月08日 22:35
,,"作者のコメントするフェアクソの展開に笑いつつ
実際にはそんなゲームないよと否定しようとして否定しきれない
糞ゲー業界の闇は深い","時折特大の爆弾が発見されるからこそ、それが一体どれほどの威力かを確かめたい者たちによってクソゲーは成り立っているのかもしれませんね……
これからも拙作を宜しくお願いします！",2017年 06月08日 19:45,2017年 06月08日 22:37
非常にテンポよい展開でとても楽しんでいます。各種専門用語も実に的確に使用されていて、何度もわらってしまいました。これからもがんばってください！,,,"なるべくテンポよく書いていきたいと心がけていますので、皆様が楽しんでいただければ非常に光栄なことであります。
これからも頑張ります！宜しくお願いします！",2017年 06月08日 21:21,2017年 06月08日 22:38
面白いです。続きを楽しみにしております。,,"昔遊んだフリーゲームで改善されるまでどうしようもなかったバグがあったのを思い出したのでちょっと書いてみる。
white box って開発者はそのバグを読んでいたけど、どんなのかというと…
・ラスボスの攻撃判定を示す画像が読み込めず、攻撃するべき場所が表示されなかったため、何処を攻撃したら良いのか分からなかった。
・攻撃判定はある。だから、闇雲に銃を撃ちまくったら少しは当たる。でも、当たっても何処に攻撃すれば良いのかが分からない。(その攻撃判定のある場所は動いているため)
というバグで、修正されるまでクリアできなかった…
でも、主人公ならクリアしてそう","ありがとうございます。
どうすりゃええんや……ってバグ結構ありますよね、事実は小説よりもナントヤラ。
これからも拙作を宜しくお願いします。",2017年 06月08日 23:36,2017年 06月09日 8:28
